Jordan, 42.08, 43.11, 41.71, 43.24, 44.49, 42.07, 40.42, 38.47, 56.80, 37.00, 31.88, 36.00, 40.21, 27.50, 24.00, 39.13, 37.00, 33.50
Qatar, 42.51, 42.51, 40.16, 39.83, 35.97, 35.35, 34.32, 32.86, 46.00, 38.00, 24.00, 15.50, 24.00, 18.00, 23.00, 32.50, 35.00, null
Colombia, 42.66, 42.82, 41.03, 41.47, 44.11, 39.08, 36.68, 37.48, 66.50, 51.50, 40.13, 35.50, 42.33, 44.75, 40.17, 47.38, 49.17, 40.83
United Arab, 42.69, 43.63, 40.86, 39.39, 36.73, 36.73, 36.03, 33.49, 45.00, 23.75, 21.50, 14.50, 20.25, 17.50, 25.75, 50.25, 37.00, null
Central African, 42.87, 47.27, 35.25, 36.12, 33.60, 33.84, 33.13, 26.61, 20.00, 18.50, 17.75, 18.50, 22.50, 14.50, 19.75, 32.50, 32.75, 21.50
Morocco, 42.88, 43.98, 43.13, 42.42, 42.64, 39.19, 39.72, 39.04, 63.29, 47.40, 41.00, 32.25, 33.25, 24.83, 36.17, 43.00, 39.67, 29.00
Cameroon, 43.28, 43.32, 40.92, 41.59, 40.53, 39.63, 38.13, 34.78, 35.00, 44.30, 30.50, 36.90, 36.00, 28.25, 20.50, 27.00, 30.50, 28.83
Oman, 43.42, 43.42, 40.67, 40.46, 40.43, 38.83, 38.83, 41.51, 55.00, 40.25, 29.50, 32.67, null, null, null, null, 57.75, null
Philippines, 43.54, 43.91, 42.53, 41.08, 44.66, 41.19, 43.69, 43.11, 64.50, 60.00, 38.25, 45.00, 44.75, 51.00, 50.00, 36.63, 35.25, 29.00
Palestine, 44.09, 44.68, 42.96, 42.9, 42.93, 41.01, 40.11, 43.09, 76.00, 56.13, 69.83, 66.88, 69.83, 46.75, 42.50, 43.17, 39.25, 27.00
South Sudan, 44.49, 45.65, 46.88, 48.16, 44.87, 38.04, 36.05, 36.20, 41.25, null, null, null, null, null, null, null, null, null
Myanmar, 44.77, 44.92, 43.15, 41.82, 45.48, 42.08, 41.43, 44.71, 100.00, 94.50, 102.67, 94.38, 93.75, 94.75, 88.83, 103.63, 95.50, 96.83
Thailand, 44.94, 44.10, 44.31, 44.69, 44.53, 40.07, 37.94, 38.60, 61.50, 56.83, 44.00, 34.50, 53.50, 33.50, 28.00, 14.00, 19.67, 22.75
Eswatini, 45.15, 49.09, 51.46, 51.27, 52.37, 47.28, 46.76, 46.76, 67.00, 57.50, 52.50, 50.50, 54.50, 40.50, 35.00, 31.00, 37.50, 29.00
India, 45.33, 45.33, 43.24, 42.94, 43.17, 40.49, 40.34, 41.22, 58.00, 38.75, 29.33, 30.00, 39.33, 26.50, 27.00, 38.50, 39.00, 26.50
Mexico, 45.45, 46.78, 48.91, 48.97, 49.33, 43.69, 45.04, 45.30, 72.67, 47.50, 48.25, 46.13, 53.63, 45.83, 45.50, 27.83, 17.67, 24.75
Cambodia, 45.46, 45.90, 45.90, 42.07, 40.70, 40.99, 40.97, 41.81, 55.00, 43.83, 35.17, 35.50, 25.33, 27.25, 23.00, 36.50, 19.50, 24.25
Pakistan, 45.52, 45.83, 43.24, 43.55, 48.52, 50.46, 51.46, 51.31, 75.00, 56.17, 65.67, 54.88, 64.83, 70.33, 60.75, 61.75, 39.00, 44.67
Algeria, 45.52, 45.75, 43.13, 42.83, 41.69, 36.63, 36.26, 36.54, 56.00, 47.33, 49.56, 31.33, 40.50, 40.00, 40.33, 43.50, 33.00, 31.00
Venezuela, 45.66, 49.10, 46.03, 42.94, 44.77, 40.61, 35.37, 34.44, 55.00, 47.33, 39.50, 27.33, 36.88, 29.00, 23.00, 24.63, 27.83, 25.00
